Model,female_dim3_3,female_dim3_5,female_dim4_3,male_dim3_3,male_dim3_5,male_dim4_3,diet_dim3_3,diet_dim3_5,diet_dim4_3
female_dim3_3,6.178,6.933,6.602,7.064,6.864,6.633,6.2,6.864,6.748
female_dim3_5,6.933,7.675,7.367,8.7,8.839,7.356,6.849,7.596,7.172
female_dim4_3,6.602,7.367,7.542,6.618,7.589,7.118,6.77,7.265,7.387
male_dim3_3,7.064,8.7,6.618,6.561,6.801,6.751,6.363,6.817,6.633
male_dim3_5,6.864,8.839,7.589,6.801,7.481,7.694,6.832,7.365,7.396
male_dim4_3,6.633,7.356,7.118,6.751,7.694,7.157,6.57,7.203,7.156
diet_dim3_3,6.2,6.849,6.77,6.363,6.832,6.57,6.16,6.833,6.695
diet_dim3_5,6.864,7.596,7.265,6.817,7.365,7.203,6.833,7.335,7.416
diet_dim4_3,6.748,7.172,7.387,6.633,7.396,7.156,6.695,7.416,7.238
