Model,female_dim3_3,female_dim3_5,female_dim4_3,male_dim3_3,male_dim3_5,male_dim4_3,diet_dim3_3,diet_dim3_5,diet_dim4_3
female_dim3_3,,819.0,188.0,346.0,611.0,148.0,45.0,229.0,113.0
female_dim3_5,819.0,,1143.0,1260.0,2206.0,686.0,407.0,1543.0,580.0
female_dim4_3,188.0,1143.0,,149.0,462.0,223.0,85.0,255.0,65.0
male_dim3_3,346.0,1260.0,149.0,,697.0,233.0,74.0,429.0,169.0
male_dim3_5,611.0,2206.0,462.0,697.0,,702.0,244.0,576.0,401.0
male_dim4_3,148.0,686.0,223.0,233.0,702.0,,89.0,315.0,101.0
diet_dim3_3,45.0,407.0,85.0,74.0,244.0,89.0,,652.0,275.0
diet_dim3_5,229.0,1543.0,255.0,429.0,576.0,315.0,652.0,,721.0
diet_dim4_3,113.0,580.0,65.0,169.0,401.0,101.0,275.0,721.0,
